Master Seq No,Field Name,Field Format,Field Length,IsNumericalFormat,IsOverpunchFormat,Format,start,end,applyAlphaPad,applyAlphaLen,applyNumericPad,applyNumericLen
4,RX CLAIMS NUMBER,AN,10,FALSE,FALSE,,2,11,,,,
4,CLAIM STATUS,AN,1,FALSE,FALSE,,12,12,,,,
4,SEQUENCE NUMBER OF CLAIM,N,2,TRUE,FALSE,,13,14,,,,
4,PATIENT FIRST NAME,AN,10,FALSE,FALSE,,15,24,,,,
4,PATIENT LAST NAME,AN,10,FALSE,FALSE,,25,34,,,,
4,PATIENT DATE OF BIRTH,N,8,TRUE,FALSE,,35,42,,,,
4,DATE OF SERVICE,N,8,TRUE,FALSE,,43,50,,,,
4,PRESCRIPTION /SERVICE REFERENCE NUMBER,AN,10,FALSE,FALSE,,51,60,,,,
4,PRODUCT LABEL NAME WITH DOSAGE FORM AND STRENGTH,AN,15,FALSE,FALSE,,61,75,,,,
4,CLAIM AMOUNT,N,7,TRUE,TRUE,S9(5)V99,76,82,,,,
